StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q1,Q19,Q20,Q5,Q2,Q2_7_TEXT,Q3,Q3_8_TEXT,Q21,Q32,Q33,Q34,Q35,Q36,Q37,Q38,Q23,Q39,QID49,Q40,Q24,Q42
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,"Thank you for taking our survey. This survey is owned by Jennings Dean, Sloan Duvall, Elvis Atitsoabui, Jaci Crute, and Matthew Li. The purpose of this survey is to compile data about the political knowledge and general partisan lean of various majors across UNC's campus. Do you consent to continuing and taking the survey? If you have any questions please email jmdean@ad.unc.edu.",This survey will take approximately 20 minutes. Do you consent to continuing and taking the survey? If you have any questions please email jmdean@ad.unc.edu.,We will benefit from these results by learning where to focus voter turnout efforts. There are no inherent risks for this survey. The data collected will only be viewed by the professor and owners of the survey.  Do you consent to continuing and taking the survey? If you have any questions please email jmdean@ad.unc.edu.,Are you registered to vote in North Carolina?,Below is a list of seven race and ethnicity categories. Please select one or more of the race/ethnicities that you consider yourself to be - Selected Choice,Below is a list of seven race and ethnicity categories. Please select one or more of the race/ethnicities that you consider yourself to be - Other - Text,What is your major(s) and/or minor(s)? Please select all that apply - Selected Choice,What is your major(s) and/or minor(s)? Please select all that apply - Other - Text,"Of your selected departments, which have you taken the most classes in? [QID3-ChoiceGroup-SelectedChoicesTextEntry]","There has been some discussion about abortion during recentyears. Which one of the opinions on this page best agrees withyour view?",Do you support increased funding to Social Welfare,Do you support an assault rifles ban?,To the best of your knowledge: Is Voter ID required in North Carolina?,To the best of your knowledge: Does North Carolina have early voting?,Which of the following options are the current U.S. Senators representing North Carolina.,"To the best of your knowledge, is North Carolina an open primary?",How confident are in your previous answer?,To the best of your knowledge: Can you same day register to vote on ELECTION DAY?,How confident are you in your previous answer?,To the best of your knowledge: Can you same day register to vote DURING EARLY VOTING?,How confident are you in your previous answer?,How do you feel you personally identify politically?
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID1""}","{""ImportId"":""QID43""}","{""ImportId"":""QID44""}","{""ImportId"":""QID5""}","{""ImportId"":""QID2""}","{""ImportId"":""QID2_7_TEXT""}","{""ImportId"":""QID3""}","{""ImportId"":""QID3_8_TEXT""}","{""ImportId"":""QID45_TEXT""}","{""ImportId"":""QID32""}","{""ImportId"":""QID33""}","{""ImportId"":""QID34""}","{""ImportId"":""QID35""}","{""ImportId"":""QID36""}","{""ImportId"":""QID37""}","{""ImportId"":""QID38""}","{""ImportId"":""QID47""}","{""ImportId"":""QID39""}","{""ImportId"":""QID49""}","{""ImportId"":""QID40""}","{""ImportId"":""QID48""}","{""ImportId"":""QID42""}"
2023-11-16 12:14:24,2023-11-16 12:14:56,IP Address,152.23.88.193,100,31,True,2023-11-16 12:14:56,R_3KxWbnr747gqOzl,,,,,35.9153,-79.0386,anonymous,EN,Yes,Yes,Yes,No,,,,,,,,,,,,,,,,,,
2023-11-16 12:21:08,2023-11-16 12:21:54,IP Address,198.85.230.23,100,45,True,2023-11-16 12:21:55,R_3L27G0e3UKOASnu,,,,,35.9153,-79.0386,anonymous,EN,Yes,Yes,Yes,No,,,,,,,,,,,,,,,,,,
2023-11-16 12:18:43,2023-11-16 12:20:54,IP Address,104.28.32.179,100,131,True,2023-11-16 12:46:29,R_O1hiPQ3x2Dd0FRn,,,,,35.9935,-78.9032,anonymous,EN,Yes,Yes,Yes,Yes,White,,Mathematics/Physics,,Math,"4. By law, a woman should always be able to obtain an abortion as a matter of personal choice",Yes,Yes,Yes,Yes,Thom Tillis & Ted Budd,I don't know,I guessed,Yes,Confident,Yes,I guessed,Democrat
2023-11-16 12:57:54,2023-11-16 13:01:43,IP Address,152.23.50.165,100,229,True,2023-11-16 13:01:44,R_1E52dwuqc36Keui,,,,,36.0774,-79.088,anonymous,EN,Yes,Yes,Yes,Yes,White,,"Computer Science,Mathematics/Physics",,Mathematics,"4. By law, a woman should always be able to obtain an abortion as a matter of personal choice",Yes,Yes,Yes,Yes,Roy Cooper & Mark Robinson,No,I guessed,Yes,I guessed,Yes,I guessed,Democrat
2023-11-16 13:13:18,2023-11-16 13:16:33,IP Address,174.216.0.78,100,195,True,2023-11-16 13:16:34,R_1er7xSmVnhBwBjC,,,,,35.2296,-80.843,anonymous,EN,Yes,Yes,Yes,Yes,White,,Other,"Statistics and Analytics ","Statistics ","4. By law, a woman should always be able to obtain an abortion as a matter of personal choice",Yes,Yes,,Yes,Thom Tillis & Ted Budd,I don't know,I guessed,No,I guessed,,I guessed,Independent
2023-11-16 13:20:44,2023-11-16 13:24:04,IP Address,152.23.14.60,100,200,True,2023-11-16 13:24:05,R_T2cwN16NxBqjT21,,,,,35.9153,-79.0386,anonymous,EN,Yes,Yes,Yes,Yes,White,,Mathematics/Physics,,Mathematics,"4. By law, a woman should always be able to obtain an abortion as a matter of personal choice",Yes,Yes,,Yes,Thom Tillis & Ted Budd,Yes,Confident,Yes,Confident,,I guessed,Democrat
2023-11-16 19:01:27,2023-11-16 19:03:43,IP Address,152.7.255.225,100,136,True,2023-11-16 19:03:44,R_e5apmTnRY9Kjjax,,,,,35.797,-78.6865,anonymous,EN,Yes,Yes,Yes,Yes,Black or African American,,"Business,Computer Science",,"Computer Science ","4. By law, a woman should always be able to obtain an abortion as a matter of personal choice",Yes,No,Yes,Yes,Roy Cooper & Mark Robinson,Yes,Confident,Yes,Confident,No,Confident,Independent
2023-11-16 19:06:29,2023-11-16 19:10:19,IP Address,152.7.255.235,100,230,True,2023-11-16 19:10:19,R_1qeoHjTxmFYxw4v,,,,,35.797,-78.6865,anonymous,EN,Yes,Yes,Yes,Yes,Black or African American,,"Business,Finance/Econ,Other",,Business,"2. The law should permit abortion only in case of rape, incest, or when the woman’s life is in danger",Yes,Yes,Yes,Yes,Roy Cooper & Mark Robinson,I don't know,I guessed,,I guessed,,I guessed,Independent
